,Species Name,Date,Area,Location,Latitude,Longitude,Length (m),Water Temp (C),Month,Day of Week
190,LONG NOSE WHALER,9/1/2016,Capricorn Coast,Cooee Bay,-23°8.33,150°45.75,0.74,27,January,Saturday
191,LONG NOSE WHALER,12/1/2016,Rainbow Beach,Rainbow Beach,-25°53.92,153°5.87,2.6,25,January,Tuesday
192,LONG NOSE WHALER,27/1/2016,Rainbow Beach,Rainbow Beach,-25°54.02,153°5.99,1.7,25,January,Wednesday
193,LONG NOSE WHALER,2/2/2016,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,2.65,21,February,Tuesday
194,LONG NOSE WHALER,2/2/2016,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,2.4,21,February,Tuesday
195,LONG NOSE WHALER,2/2/2016,Gold Coast,Coolangatta Beach,-28°9.31,153°32.16,2.73,21,February,Tuesday
196,LONG NOSE WHALER,2/2/2016,Gold Coast,Coolangatta Beach,-28°9.31,153°32.16,2.83,21,February,Tuesday
197,LONG NOSE WHALER,2/2/2016,Gold Coast,Currumbin Beach,-28°7.4,153°29.35,2.37,21,February,Tuesday
198,LONG NOSE WHALER,3/2/2016,Gold Coast,Bilinga Beach,-28°8.59,153°30.42,2.75,22,February,Wednesday
199,LONG NOSE WHALER,9/2/2016,Sunshine Coast North,Noosa,-26°22.91,153°5.56,2.34,24,February,Tuesday
200,LONG NOSE WHALER,9/2/2016,Sunshine Coast South & Bribie Island,Alexandra Headland,-26°39.96,153°6.86,2.25,24,February,Tuesday
201,LONG NOSE WHALER,11/2/2016,Rainbow Beach,Rainbow Beach,-25°53.92,153°5.87,2.2,25,February,Thursday
202,LONG NOSE WHALER,15/2/2016,Gold Coast,Burleigh Beach,-28°4.58,153°27.29,2.5,26,February,Monday
203,LONG NOSE WHALER,26/2/2016,Sunshine Coast North,Noosa,-26°22.2,153°6.55,1.24,24,February,Friday
204,LONG NOSE WHALER,4/3/2016,Sunshine Coast North,Maroochydore Beach,-26°39.27,153°6.66,1,24,March,Friday
205,LONG NOSE WHALER,9/3/2016,Sunshine Coast North,Marcoola Beach,-26°34.94,153°6.15,2.15,24,March,Wednesday
206,LONG NOSE WHALER,12/3/2016,Sunshine Coast North,Marcoola Beach,-26°34.94,153°6.15,2.15,24,March,Saturday
